model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
43507,Fit,8,128,128,16,32,8,20,19876,8200.2,30
20231,Not Fit,9,128,128,16,32,16,41,39623,16511,64
32585,Not Fit,8,128,128,16,32,32,86,103597,29303,144
44877,Not Fit,9,128,128,16,32,16,41,40248.6,16511,64
31624,Fit,14,128,128,16,32,8,20,19859,8214,30
47972,Fit,14,128,128,16,32,16,41,39793,16511,64
38033,Not Fit,14,128,128,16,32,32,86,100116.4,29320.8,144
22343,Fit,14,128,128,16,32,8,20,19898,8200,30
33730,Not Fit,15,128,128,16,32,16,41,40212.3333333333,16511,64
48669,Not Fit,14,128,128,16,32,32,86,99971,29301.5,144
24302,Not Fit,15,128,128,16,32,16,41,40212.3333333333,16511,64
29144,Fit,5,128,128,16,64,8,20,19876.3333333333,8216.66666666667,30
46603,Fit,5,128,128,16,64,16,41,39793,16513,64
5457,Not Fit,5,128,128,16,64,32,86,98119.6,29323.4,144
46845,Fit,5,128,128,16,64,8,20,19875.2,8201.8,30
12898,Not Fit,6,128,128,16,64,16,41,40231.4210526316,16513,64
47407,Fit,8,128,128,16,64,8,20,19859,8216,30
25105,Not Fit,8,128,128,16,64,16,41,40212.3333333333,16513,64
10585,Not Fit,8,128,128,16,64,32,86,96428,29333,144
6034,Not Fit,8,128,128,16,64,8,20,19859.3333333333,8201.33333333333,30
45868,Not Fit,9,128,128,16,64,16,41,40167,16513,64
32133,Not Fit,8,128,128,16,64,32,86,99219.6666666667,29303,144
2495,Not Fit,9,128,128,16,64,16,41,40547.8,16513,64
49411,Not Fit,5,128,128,16,128,8,20,19997,8218.8,30
31120,Not Fit,5,128,128,16,128,16,41,39285,16515,64
33931,Not Fit,5,128,128,16,128,8,20,19861.3333333333,8203.33333333333,30
19226,Not Fit,6,128,128,16,128,16,41,38537,16515,64
45522,Fit,8,128,128,16,128,8,20,19729,8218,30
49355,Not Fit,8,128,128,16,128,16,41,39534.3333333333,16515,64
19185,Not Fit,8,128,128,16,128,8,20,19860.6666666667,8203,30
42099,Not Fit,9,128,128,16,128,16,41,39217,16515,64
32811,Not Fit,5,128,128,16,256,8,20,19419.8333333333,8212.83333333333,30
43925,Not Fit,15,128,128,32,8,32,93,119610.333333333,31277.5,160
44158,Fit,14,128,128,32,8,8,22,25731,9043,34
1302,Not Fit,14,128,128,32,8,16,44,50291.5714285714,17598,72
45173,Not Fit,14,128,128,32,8,32,93,119437,31277.5,160
16246,Not Fit,14,128,128,32,8,8,22,25444,9029.33333333333,34
34072,Fit,14,128,128,32,8,16,44,50717.6666666667,17579,72
21261,Not Fit,15,128,128,32,8,32,93,119511.285714286,31277.5,160
4388,Not Fit,15,128,128,32,16,32,93,119613.333333333,31279,160
9797,Fit,14,128,128,32,16,8,22,25461.5555555556,9045.44444444445,34
42301,Not Fit,14,128,128,32,16,16,44,50684.6,17600.2,72
26707,Not Fit,14,128,128,32,16,32,93,119613.333333333,31279,160
46334,Fit,14,128,128,32,16,8,22,25416,9030.5,34
39296,Not Fit,14,128,128,32,16,16,44,50720.6666666667,17582.5,72
46250,Not Fit,15,128,128,32,16,32,93,119440,31278.75,160
32586,Not Fit,9,128,128,32,32,32,93,122820,31280,160
34175,Fit,8,128,128,32,32,8,22,25462.6666666667,9048,34
40263,Not Fit,8,128,128,32,32,16,44,50634.6666666667,17605.1666666667,72
46802,Not Fit,8,128,128,32,32,32,93,119440,31281.5,160
48819,Fit,8,128,128,32,32,8,22,25173,9032,34
44878,Not Fit,8,128,128,32,32,16,44,50774,17584.8,72
