model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
34147,Fit,5,16,16,16,16,128,22,18206,9003,48
34148,Fit,8,16,16,16,16,64,22,18206,9001,48
34146,Fit,11,16,16,16,16,32,22,18206,8999,48
46611,Not Fit,5,16,16,16,16,128,22,18206,9003,48
46612,Not Fit,8,16,16,16,16,64,22,18206,9001,48
46610,Not Fit,11,16,16,16,16,32,22,18206,8999,48
33627,Fit,5,16,16,16,16,128,22,18206,9003,48
33628,Fit,8,16,16,16,16,64,22,18206,9001,48
33626,Fit,11,16,16,16,16,32,22,18206,9002,48
30250,Not Fit,5,16,16,16,16,128,22,18206,9003,48
30251,Not Fit,8,16,16,16,16,64,22,18206,9001,48
30249,Not Fit,11,16,16,16,16,32,22,18206,8999,48
12416,Fit,5,16,16,16,16,128,22,18206,9003,48
12417,Fit,8,16,16,16,16,64,22,18206,9001,48
12415,Fit,11,16,16,16,16,32,22,18206,8999,48
44849,Fit,5,16,16,16,16,128,22,18206,9003,48
44850,Fit,8,16,16,16,16,64,22,18206,9001,48
44848,Fit,11,16,16,16,16,32,22,18206,8999,48
23050,Fit,5,16,16,16,16,128,22,18206,9003,48
23051,Fit,8,16,16,16,16,64,22,18206,9001,48
23049,Fit,11,16,16,16,16,32,22,18206,8999,48
22606,Fit,5,16,16,16,16,128,22,18206,9003,48
22607,Fit,8,16,16,16,16,64,22,18206,9001,48
22605,Fit,11,16,16,16,16,32,22,18206,8999,48
45123,Not Fit,5,16,16,16,16,128,22,18206,9003,48
45124,Not Fit,8,16,16,16,16,64,22,18206,9001,48
45122,Not Fit,11,16,16,16,16,32,22,18206,8999,48
41869,Not Fit,5,16,16,16,16,128,22,18206,9003,48
41870,Not Fit,8,16,16,16,16,64,22,18206,9001,48
41868,Not Fit,11,16,16,16,16,32,22,18206,9002,48
26895,Fit,5,16,16,16,16,128,22,18206,9003,48
26896,Fit,8,16,16,16,16,64,22,18206,9001,48
26894,Fit,11,16,16,16,16,32,22,18206,8999,48
