model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
2174,Not Fit,5,16,16,16,16,256,780,3510
2175,Not Fit,8,16,16,16,16,128,396,1782
2176,Not Fit,11,16,16,16,16,64,204,918
18643,Not Fit,5,16,16,16,16,256,780,3510
18644,Not Fit,8,16,16,16,16,128,396,1782
18645,Not Fit,11,16,16,16,16,64,204,918
26996,Not Fit,5,16,16,16,16,256,780,3510
26997,Not Fit,8,16,16,16,16,128,396,1782
26998,Not Fit,11,16,16,16,16,64,204,918
47938,Not Fit,5,16,16,16,16,256,780,3510
47939,Not Fit,8,16,16,16,16,128,396,1782
47940,Not Fit,11,16,16,16,16,64,204,918
27550,Not Fit,5,16,16,16,16,256,780,3510
27549,Not Fit,8,16,16,16,16,128,396,1782
27551,Not Fit,11,16,16,16,16,64,204,918
9182,Not Fit,5,16,16,16,16,256,780,3510
9183,Not Fit,8,16,16,16,16,128,396,1782
9184,Not Fit,11,16,16,16,16,64,204,918
45277,Not Fit,5,16,16,16,16,256,780,3510
45276,Not Fit,8,16,16,16,16,128,396,1782
45278,Not Fit,11,16,16,16,16,64,204,918
22009,Not Fit,5,16,16,16,16,256,780,3510
22010,Not Fit,8,16,16,16,16,128,396,1782
22011,Not Fit,11,16,16,16,16,64,204,918
17936,Not Fit,5,16,16,16,16,256,780,3510
17937,Not Fit,8,16,16,16,16,128,396,1782
17938,Not Fit,11,16,16,16,16,64,204,918
2676,Not Fit,5,16,16,16,16,256,780,3510
2677,Not Fit,8,16,16,16,16,128,396,1782
2678,Not Fit,11,16,16,16,16,64,204,918
27729,Not Fit,5,16,16,16,16,256,780,3510
27730,Not Fit,8,16,16,16,16,128,396,1782
27731,Not Fit,11,16,16,16,16,64,204,918
37626,Not Fit,5,16,16,16,16,256,780,3510
37627,Not Fit,8,16,16,16,16,128,396,1782
37628,Not Fit,11,16,16,16,16,64,204,918
31779,Not Fit,5,16,16,16,16,256,780,3510
31780,Not Fit,8,16,16,16,16,128,396,1782
31781,Not Fit,11,16,16,16,16,64,204,918
19538,Not Fit,5,16,16,16,16,256,780,3510
19539,Not Fit,8,16,16,16,16,128,396,1782
19540,Not Fit,11,16,16,16,16,64,204,918
19290,Not Fit,5,16,16,16,16,256,780,3510
19291,Not Fit,8,16,16,16,16,128,396,1782
19292,Not Fit,11,16,16,16,16,64,204,918
8931,Not Fit,5,16,16,16,16,512,1548,6966
8933,Not Fit,8,16,16,16,16,256,780,3510
8932,Not Fit,11,16,16,16,16,128,396,1782
13209,Not Fit,5,16,16,16,16,512,1548,6966
13210,Not Fit,8,16,16,16,16,256,780,3510
13211,Not Fit,11,16,16,16,16,128,396,1782
41358,Not Fit,5,16,16,16,16,512,1548,6966
41359,Not Fit,8,16,16,16,16,256,780,3510
41360,Not Fit,11,16,16,16,16,128,396,1782
28800,Not Fit,5,16,16,16,16,512,1548,6966
28801,Not Fit,8,16,16,16,16,256,780,3510
28802,Not Fit,11,16,16,16,16,128,396,1782
47095,Not Fit,5,16,16,16,16,512,1548,6966
47096,Not Fit,8,16,16,16,16,256,780,3510
47097,Not Fit,11,16,16,16,16,128,396,1782
17129,Not Fit,5,16,16,16,16,512,1548,6966
17131,Not Fit,8,16,16,16,16,256,780,3510
17130,Not Fit,11,16,16,16,16,128,396,1782
17435,Not Fit,5,16,16,16,16,512,1548,6966
17436,Not Fit,8,16,16,16,16,256,780,3510
17437,Not Fit,11,16,16,16,16,128,396,1782
21417,Not Fit,5,16,16,16,16,512,1548,6966
21418,Not Fit,8,16,16,16,16,256,780,3510
21419,Not Fit,11,16,16,16,16,128,396,1782
30318,Not Fit,5,16,16,16,16,512,1548,6966
30319,Not Fit,8,16,16,16,16,256,780,3510
30320,Not Fit,11,16,16,16,16,128,396,1782
29831,Not Fit,5,16,16,16,16,512,1548,6966
29833,Not Fit,8,16,16,16,16,256,780,3510
29832,Not Fit,11,16,16,16,16,128,396,1782
6319,Fit,5,16,16,16,16,512,1548,6966
6320,Fit,8,16,16,16,16,256,780,3510
6321,Fit,11,16,16,16,16,128,396,1782
15683,Not Fit,5,16,16,16,16,512,1548,6966
15684,Not Fit,8,16,16,16,16,256,780,3510
15685,Not Fit,11,16,16,16,16,128,396,1782
25037,Not Fit,5,16,16,16,16,512,1548,6966
25038,Not Fit,8,16,16,16,16,256,780,3510
25039,Not Fit,11,16,16,16,16,128,396,1782
39391,Not Fit,5,16,16,16,16,512,1548,6966
39393,Not Fit,8,16,16,16,16,256,780,3510
39392,Not Fit,11,16,16,16,16,128,396,1782
43761,Not Fit,5,16,16,16,16,512,1548,6966
43762,Not Fit,8,16,16,16,16,256,780,3510
43763,Not Fit,11,16,16,16,16,128,396,1782
39499,Not Fit,5,16,16,16,16,512,1548,6966
39500,Not Fit,8,16,16,16,16,256,780,3510
39501,Not Fit,11,16,16,16,16,128,396,1782
5581,Not Fit,5,16,16,16,16,512,1548,6966
5582,Not Fit,8,16,16,16,16,256,780,3510
5583,Not Fit,11,16,16,16,16,128,396,1782
5413,Not Fit,5,16,16,16,16,512,1548,6966
5414,Not Fit,8,16,16,16,16,256,780,3510
5415,Not Fit,11,16,16,16,16,128,396,1782
40660,Not Fit,5,16,16,16,16,512,1548,6966
40662,Not Fit,8,16,16,16,16,256,780,3510
40661,Not Fit,11,16,16,16,16,128,396,1782
